Sff, 0, 759054, 32
Sdf, 1, 309534, 64
Sff, 1, 517995, 64
Sdf, 2, 572932, 128
Sff, 3, 43332, 128
Sdf, 5, 109601, 256
Sff, 6, 85543, 256
Sdf, 10, 167083, 512
Sff, 12, 152978, 512
Sdf, 20, 306555, 1024
Sff, 24, 315047, 1024
Sdf, 0, 30643, 1
Sff, 0, 29632, 1
Sdf, 0, 41040, 2
Sff, 0, 47360, 2
Sdf, 0, 77843, 4
Sff, 0, 94750, 4
Sdf, 0, 148914, 8
Sff, 0, 189507, 8
Sdf, 0, 298252, 16
Sff, 0, 379176, 16
Sdf, 0, 675669, 32
Sff, 0, 758702, 32
Sdf, 1, 311118, 64
Sff, 1, 518172, 64
Sdf, 2, 576891, 128
Sff, 3, 40585, 128
Sdf, 5, 118557, 256
Sff, 6, 85343, 256
Sdf, 10, 164206, 512
Sff, 12, 164264, 512
Sdf, 20, 264460, 1024
Sff, 24, 316994, 1024
Sdf, 0, 30935, 1
Sff, 0, 29729, 1
Sdf, 0, 41309, 2
Sff, 0, 47532, 2
Sdf, 0, 78147, 4
Sff, 0, 95100, 4
Sdf, 0, 149741, 8
Sff, 0, 190311, 8
Sdf, 0, 298672, 16
Sff, 0, 380514, 16
Sdf, 0, 675598, 32
Sff, 0, 761039, 32
Sdf, 1, 309158, 64
Sff, 1, 523913, 64
Sdf, 2, 576136, 128
Sff, 3, 38866, 128
Sdf, 5, 95970, 256
Sff, 6, 84723, 256
Sdf, 10, 194132, 512
Sff, 12, 177338, 512
Sdf, 20, 282821, 1024
Sff, 24, 315264, 1024
Sdf, 0, 30170, 1
Sff, 0, 29428, 1
Sdf, 0, 41032, 2
Sff, 0, 47415, 2
Sdf, 0, 78084, 4
Sff, 0, 94939, 4
Sdf, 0, 149154, 8
Sff, 0, 189873, 8
Sdf, 0, 298095, 16
Sff, 0, 379768, 16
Sdf, 0, 686640, 32
Sff, 0, 759821, 32
Sdf, 1, 319581, 64
Sff, 1, 517671, 64
Sdf, 2, 581827, 128
Sff, 3, 34656, 128
Sdf, 5, 108372, 256
Sff, 6, 76889, 256
Sdf, 10, 174268, 512
Sff, 12, 165756, 512
Sdf, 20, 348278, 1024
Sff, 24, 320052, 1024
Sdf, 0, 30111, 1
Sff, 0, 29379, 1
Sdf, 0, 41135, 2
Sff, 0, 47352, 2
Sdf, 0, 78252, 4
Sff, 0, 94732, 4
Sdf, 0, 149348, 8
Sff, 0, 189554, 8
Sdf, 0, 298951, 16
Sff, 0, 378936, 16
Sdf, 0, 664356, 32
Sff, 0, 758455, 32
Sdf, 1, 296542, 64
Sff, 1, 517041, 64
Sdf, 2, 561476, 128
Sff, 3, 38093, 128
Sdf, 5, 93467, 256
Sff, 6, 72014, 256
Sdf, 10, 149154, 512
Sff, 12, 145596, 512
Sdf, 20, 261353, 1024
Sff, 24, 319066, 1024
Sdf, 0, 30758, 1
Sff, 0, 30184, 1
Sdf, 0, 41229, 2
Sff, 0, 47522, 2
Sdf, 0, 78027, 4
Sff, 0, 95149, 4
Sdf, 0, 149413, 8
Sff, 0, 190351, 8
Sdf, 0, 298683, 16
Sff, 0, 380718, 16
Sdf, 0, 674149, 32
Sff, 0, 760767, 32
Sdf, 1, 309286, 64
Sff, 1, 522278, 64
Sdf, 2, 574593, 128
Sff, 3, 41538, 128
Sdf, 5, 98982, 256
Sff, 6, 82393, 256
Sdf, 10, 180175, 512
Sff, 12, 184522, 512
Sdf, 20, 304340, 1024
Sff, 24, 345993, 1024
Sdf, 0, 30774, 1
Sff, 0, 29639, 1
Sdf, 0, 41187, 2
Sff, 0, 47566, 2
Sdf, 0, 78180, 4
Sff, 0, 95192, 4
Sdf, 0, 149463, 8
Sff, 0, 190283, 8
Sdf, 0, 298965, 16
Sff, 0, 380653, 16
Sdf, 0, 678036, 32
Sff, 0, 760177, 32
Sdf, 1, 311269, 64
Sff, 1, 520678, 64
Sdf, 2, 574192, 128
Sff, 3, 35197, 128
Sdf, 5, 101625, 256
Sff, 6, 77598, 256
Sdf, 10, 162355, 512
Sff, 12, 153468, 512
Sdf, 20, 266543, 1024
Sff, 24, 320530, 1024
Sdf, 0, 30411, 1
Sff, 0, 29806, 1
Sdf, 0, 41192, 2
Sff, 0, 47622, 2
Sdf, 0, 78313, 4
Sff, 0, 95275, 4
Sdf, 0, 149464, 8
Sff, 0, 190533, 8
Sdf, 0, 299436, 16
Sff, 0, 380494, 16
Sdf, 0, 667645, 32
Sff, 0, 760191, 32
Sdf, 1, 298916, 64
Sff, 1, 521799, 64
Sdf, 2, 560495, 128
Sff, 3, 37053, 128
Sdf, 5, 99113, 256
Sff, 6, 79756, 256
Sdf, 10, 149960, 512
Sff, 12, 168768, 512
Sdf, 20, 272707, 1024
Sff, 24, 311691, 1024
Sdf, 0, 30749, 1
Sff, 0, 29466, 1
Sdf, 0, 41085, 2
Sff, 0, 47419, 2
Sdf, 0, 78022, 4
Sff, 0, 94893, 4
Sdf, 0, 149115, 8
Sff, 0, 189827, 8
Sdf, 0, 297975, 16
